Name,ExpressionScript
Section 7 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 2048
Section 7 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 2048
Section 7 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 2048
Section 7 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 2048 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 7 Rinse,CIP_27_Object_ID != 2048 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 8 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 4096
Section 8 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 4096
Section 8 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 4096
Section 8 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 4096
Section 8 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 4096 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 8 Rinse,CIP_27_Object_ID != 4096 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 9 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 8192
Section 9 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 8192
Section 9 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 8192 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 9 Rinse,CIP_27_Object_ID != 8192 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Acid Addition,CIP_28_Acid_Supply_Valve == true && CIP_28_Step_No == 11 || CIP_28_Step_No == 3
Acid Addition,CIP_28_Step_No != 11 && CIP_28_Step_No != 3
Acid Circulation,CIP_28_Acid_Supply_Valve == true && CIP_28_Step_No == 12 && CIP_28_Step_No >= 12 && CIP_28_Step_No <= 13
Acid Circulation,CIP_28_Step_No < 12 || CIP_28_Step_No > 13
Caustic Addition,CIP_28_Caustic_Supply_Valve == true && CIP_28_Step_No == 2 && CIP_28_Step_No == 6
Caustic Addition,CIP_28_Step_No != 2 && CIP_28_Step_No != 6
Caustic Circulation,CIP_28_Caustic_Supply_Valve == true && CIP_28_Step_No == 7 && CIP_28_Step_No >= 7 && CIP_28_Step_No <= 8
Caustic Circulation,CIP_28_Step_No < 7 || CIP_28_Step_No > 8
Drain,CIP_28_Step_No >= 14
Drain,CIP_28_Step_No <= 14
Pre Rinse,CIP_28_Fresh_Water_Supply_Valve == true || CIP_28_Recovered_Water_Supply_Valve == true && CIP_28_Step_No >= 4 && CIP_28_Step_No <= 5
Pre Rinse,CIP_28_Step_No < 4 || CIP_28_Step_No > 5
Rinse,CIP_28_Recovered_Water_Supply_Valve == true || CIP_28_Fresh_Water_Supply_Valve == true && CIP_28_Step_No >= 9 && CIP_28_Step_No <= 10
Rinse,CIP_28_Step_No < 9 || CIP_28_Step_No > 10
Acid Charge,CIP_29_Step == 8
Acid Charge,CIP_29_Step != 8
Acid Circulation,CIP_29_Step == 9
Acid Circulation,CIP_29_Step != 9
Acid Drain,CIP_29_Step == 10
Acid Drain,CIP_29_Step != 10
Caustic Charge,CIP_29_Step == 3
Caustic Charge,CIP_29_Step != 3
Caustic Circulation,CIP_29_Step == 4
Caustic Circulation,CIP_29_Step != 4
Caustic Drain,CIP_29_Step == 5
Caustic Drain,CIP_29_Step != 5
Caustic Rinse,CIP_29_Step >= 6 && CIP_29_Step <= 7
Caustic Rinse,CIP_29_Step <= 6 && CIP_29_Step >= 7
Fresh Water Rinse,CIP_29_Step >= 11 && CIP_29_Step <= 12 || CIP_29_Step == 15
Fresh Water Rinse,CIP_29_Step <= 11 && CIP_29_Step >= 12 || CIP_29_Step != 15
Pre Rinse,CIP_29_Step >= 1 && CIP_29_Step <= 2
Pre Rinse,CIP_29_Step <= 1 && CIP_29_Step >= 2
Sanitize,CIP_29_Step >= 13 && CIP_29_Step <= 14
Sanitize,CIP_29_Step <= 13 && CIP_29_Step >= 14
Caustic Circulation,CIP_30_Caustic_Supply_Valve == true && CIP_30_Caustic_Return_Valve == true && CIP_30_Supply_Temp >= 145
Caustic Circulation,CIP_30_Caustic_Supply_Valve == false
Caustic Heat to Temp,CIP_30_Caustic_Supply_Valve == true && CIP_30_Caustic_Return_Valve == true && CIP_30_Supply_Temp < 125
Caustic Heat to Temp,CIP_30_Caustic_Supply_Valve == false || CIP_30_Supply_Temp >= 145
Fresh Water Rinse,CIP_30_Fresh_Water_Supply_Valve == true && CIP_30_Caustic_Return_Valve == false
Fresh Water Rinse,CIP_30_Fresh_Water_Supply_Valve != true && CIP_30_Caustic_Return_Valve != false
Recovered Water Rinse,CIP_30_Recovered_Water_Supply_Valve == true && CIP_30_Recovered_Water_Return_Valve == true
Recovered Water Rinse,CIP_30_Recovered_Water_Supply_Valve != true && CIP_30_Recovered_Water_Return_Valve != true
Acid Circulation,CIP_31_Acid_Supply_Valve == true && CIP_31_Supply_Temp >= 145
Acid Circulation,CIP_31_Acid_Supply_Valve == false || CIP_31_Supply_Temp < 125
Acid Heat to Temp,CIP_31_Acid_Supply_Valve == true && CIP_31_Supply_Temp < 125
Acid Heat to Temp,CIP_31_Acid_Supply_Valve == false || CIP_31_Supply_Temp >= 145
Caustic Circulation,CIP_31_Caustic_Supply_Valve == true && CIP_31_Caustic_Return_Valve == true && CIP_31_Supply_Temp >= 145
Caustic Circulation,CIP_31_Caustic_Supply_Valve == false || CIP_31_Supply_Temp <= 125
Caustic Heat to Temp,CIP_31_Caustic_Supply_Valve == true && CIP_31_Caustic_Return_Valve == true && CIP_31_Supply_Temp < 125
Caustic Heat to Temp,CIP_31_Caustic_Supply_Valve == false || CIP_31_Supply_Temp >= 145
Fresh Water Rinse,CIP_31_Fresh_Water_Valve == true && CIP_31_Drain_Valve == true
Fresh Water Rinse,CIP_31_Fresh_Water_Valve != true && CIP_31_Drain_Valve != true
Acid Circulation,CIP_32_Acid_Supply_Valve == true && CIP_32_Supply_Temp >= 145 && CIP_32_Step == 4
Acid Circulation,CIP_32_Step != 4
Acid Heat to Temp,CIP_32_Acid_Supply_Valve == true && CIP_32_Supply_Temp < 125 && CIP_32_Step == 4
Acid Heat to Temp,CIP_32_Step != 4 || CIP_32_Supply_Temp >= 145
Caustic Circulation,CIP_32_Caustic_Supply_Valve == true && CIP_32_Supply_Temp >= 145 && CIP_32_Step == 2
Caustic Circulation,CIP_32_Step != 2
Caustic Heat to Temp,CIP_32_Caustic_Supply_Valve == true && CIP_32_Supply_Temp < 125 && CIP_32_Step == 2
Caustic Heat to Temp,CIP_32_Step != 2 || CIP_32_Supply_Temp >= 145
Fresh Water Rinse,CIP_32_Step == 5 || CIP_32_Step == 3 && CIP_32_Fresh_Water_Supply_Valve == true
Fresh Water Rinse,CIP_32_Step != 5 && CIP_32_Step != 3
Recovered Water Rinse,CIP_32_Step == 1 || CIP_32_Step == 3 && CIP_32_Fresh_Water_Supply_Valve == false
Recovered Water Rinse,CIP_32_Step != 1 && CIP_32_Step != 3 || CIP_32_Fresh_Water_Supply_Valve == false
Chemical 1 Addition and Heat to Temperature,CIP_39_Recipe == 2 && CIP_39_Step >= 13 && CIP_39_Step <= 15 || CIP_39_Recipe == 3 && CIP_39_Step >= 13 && CIP_39_Step <= 15
Chemical 1 Addition and Heat to Temperature,CIP_39_Step > 15
Chemical 1 Circulation,CIP_39_Recipe == 2 && CIP_39_Step == 16 && CIP_39_Step_Timer_Timing == 1 || CIP_39_Recipe == 3 && CIP_39_Step == 16
Chemical 1 Circulation,CIP_39_Step != 16
Chemical 2 Addition and Heat to Temperature,CIP_39_Recipe == 2 && CIP_39_Step >= 33 && CIP_39_Step <= 35
Chemical 2 Addition and Heat to Temperature,CIP_39_Step == 36 && CIP_39_Step_Timer_Timing == true
Chemical 2 Circulation,CIP_39_Recipe == 2 && CIP_39_Step == 36 && CIP_39_Step_Timer_Timing == true
Chemical 2 Circulation,CIP_39_Step != 36
Chemical 3 Addition and Heat to Temperature,CIP_39_Recipe == 2 && CIP_39_Step >= 53 && CIP_39_Step <= 55
Chemical 3 Addition and Heat to Temperature,CIP_39_Step == 56 && CIP_39_Step_Timer_Timing == true
Chemical 3 Circulation,CIP_39_Recipe == 2 && CIP_39_Step == 56 && CIP_39_Step_Timer_Timing == true
Chemical 3 Circulation,CIP_39_Step != 56
Chemical 4 Addition and Heat to Temperature,CIP_39_Recipe == 2 && CIP_39_Step >= 73 && CIP_39_Step <= 75
Chemical 4 Addition and Heat to Temperature,CIP_39_Step == 76 && CIP_39_Step_Timer_Timing == true
Chemical 4 Circulation,CIP_39_Recipe == 2 && CIP_39_Step == 76 && CIP_39_Step_Timer_Timing == true
Chemical 4 Circulation,CIP_39_Step != 76
Flux Test,CIP_39_Recipe == 2 && CIP_39_Step >= 90 && CIP_39_Step <= 94
Flux Test,CIP_39_Recipe != 2 && CIP_39_Step <= 90 && CIP_39_Step >= 94
Fresh Water Rinse to Drain,CIP_39_Recipe == 2 && CIP_39_Step >= 2 && CIP_39_Step <= 8 || CIP_39_Recipe == 2 && CIP_39_Step >= 22 && CIP_39_Step <= 28 || CIP_39_Recipe == 2 && CIP_39_Step >= 42 && CIP_39_Step <= 48 || CIP_39_Recipe == 2 && CIP_39_Step >= 62 && CIP_39_Step <= 68 || CIP_39_Recipe == 2 && CIP_39_Step >= 82 && CIP_39_Step <= 88 || CIP_39_Recipe == 3 && CIP_39_Step >= 2 && CIP_39_Step <= 8 || CIP_39_Recipe == 3 && CIP_39_Step >= 22 && CIP_39_Step <= 28 || CIP_39_Recipe == 4 && CIP_39_Step >= 12 && CIP_39_Step <= 18 || CIP_39_Recipe == 5 && CIP_39_Step >= 2 && CIP_39_Step <= 8 || CIP_39_Recipe == 6 && CIP_39_Step >= 12 && CIP_39_Step <= 18
Fresh Water Rinse to Drain,CIP_39_Recipe != 2 && CIP_39_Step <= 2 && CIP_39_Step >= 8 || CIP_39_Recipe != 2 && CIP_39_Step <= 22 && CIP_39_Step >= 28 || CIP_39_Recipe != 2 && CIP_39_Step <= 42 && CIP_39_Step >= 48 || CIP_39_Recipe != 2 && CIP_39_Step <= 62 && CIP_39_Step >= 68 || CIP_39_Recipe != 2 && CIP_39_Step <= 82 && CIP_39_Step >= 88 || CIP_39_Recipe != 3 && CIP_39_Step <= 2 && CIP_39_Step >= 8 || CIP_39_Recipe != 3 && CIP_39_Step <= 22 && CIP_39_Step >= 28 || CIP_39_Recipe != 4 && CIP_39_Step <= 12 && CIP_39_Step >= 18 || CIP_39_Recipe != 5 && CIP_39_Step <= 2 && CIP_39_Step >= 8 || CIP_39_Recipe != 6 && CIP_39_Step <= 12 && CIP_39_Step >= 18
Sanitize Circulation,CIP_39_Recipe == 6 && CIP_39_Step == 6
Sanitize Circulation,CIP_39_Step != 6
Sanitizer Addition,CIP_39_Recipe == 6 && CIP_39_Step >= 4 && CIP_39_Step <= 5
Sanitizer Addition,CIP_39_Step == 6
Soak Addition,CIP_39_Recipe == 4 && CIP_39_Step >= 4 && CIP_39_Step <= 5
Soak Addition,CIP_39_Step == 6
Soak Circulation,CIP_39_Recipe == 4 && CIP_39_Step == 6 && CIP_39_Step_Timer_Timing == true
Soak Circulation,CIP_39_Step != 6
Acid Addition and Heat to Temperature,CIP_40_Recipe == 2 && CIP_40_Step >= 81 && CIP_40_Step <= 83
Acid Addition and Heat to Temperature,CIP_40_Step == 84 && CIP_40_Step_Timer_Timing == 1 || CIP_40_Step > 84
Acid Circulation,CIP_40_Recipe == 2 && CIP_40_Step == 84 && CIP_40_Step_Timer_Timing == true
Acid Circulation,CIP_40_Step != 84
Alkaline Addition and Heat to Temperature,CIP_40_Recipe == 2 && CIP_40_Step >= 103 && CIP_40_Step <= 105 || CIP_40_Recipe == 2 && CIP_40_Step >= 37 && CIP_40_Step <= 39
Alkaline Addition and Heat to Temperature,CIP_40_Step >= 40 && CIP_40_Step < 103 || CIP_40_Step >= 106
Alkaline Circulation,CIP_40_Recipe == 2 && CIP_40_Step == 106 && CIP_40_Step_Timer_Timing == 1 || CIP_40_Recipe == 2 && CIP_40_Step == 40 && CIP_40_Step_Timer_Timing == true
Alkaline Circulation,CIP_40_Step != 40 && CIP_40_Step != 106
Alkaline Junk Wash Addition and Heat to Temp,CIP_40_Recipe == 2 && CIP_40_Step >= 15 && CIP_40_Step <= 17
Alkaline Junk Wash Addition and Heat to Temp,CIP_40_Step >= 18
Alkaline Junk Wash Circulation,CIP_40_Recipe == 2 && CIP_40_Step == 18 && CIP_40_Step_Timer_Timing == true
Alkaline Junk Wash Circulation,CIP_40_Step != 18
Anti Microbial Addition,CIP_40_Recipe == 6 && CIP_40_Step >= 4 && CIP_40_Step <= 5
Anti Microbial Addition,CIP_40_Step == 6
Anti Microbial Circulation,CIP_40_Recipe == 6 && CIP_40_Step == 6
Anti Microbial Circulation,CIP_40_Step != 6
Enzyme Addition and Heat to Temperature,CIP_40_Recipe == 2 && CIP_40_Step >= 59 && CIP_40_Step <= 61 || CIP_40_Recipe == 3 && CIP_40_Step >= 15 && CIP_40_Step <= 17
Enzyme Addition and Heat to Temperature,CIP_40_Step >= 62 && CIP_40_Recipe == 2 || CIP_40_Step > 17 && CIP_40_Recipe == 3
Enzyme Circulation,CIP_40_Recipe == 2 && CIP_40_Step == 62 && CIP_40_Step_Timer_Timing == 1 || CIP_40_Recipe == 3 && CIP_40_Step == 18 && CIP_40_Step_Timer_Timing == true
Enzyme Circulation,CIP_40_Step != 62 && CIP_40_Step != 18
Fresh Water Rinse to Drain,CIP_40_Recipe == 2 && CIP_40_Step >= 2 && CIP_40_Step <= 10 || CIP_40_Recipe == 2 && CIP_40_Step >= 24 && CIP_40_Step <= 32 || CIP_40_Recipe == 2 && CIP_40_Step >= 46 && CIP_40_Step <= 54 || CIP_40_Recipe == 2 && CIP_40_Step >= 68 && CIP_40_Step <= 76 || CIP_40_Recipe == 2 && CIP_40_Step >= 90 && CIP_40_Step <= 98 || CIP_40_Recipe == 3 && CIP_40_Step >= 2 && CIP_40_Step <= 10 || CIP_40_Recipe == 3 && CIP_40_Step >= 24 && CIP_40_Step <= 32 || CIP_40_Recipe == 4 && CIP_40_Step >= 12 && CIP_40_Step <= 20 || CIP_40_Recipe == 5 && CIP_40_Step >= 2 && CIP_40_Step <= 10 || CIP_40_Recipe == 6 && CIP_40_Step >= 12 && CIP_40_Step <= 20 || CIP_40_Recipe == 2 && CIP_40_Step >= 112 && CIP_40_Step <= 120
Fresh Water Rinse to Drain,CIP_40_Recipe != 2 && CIP_40_Step <= 2 && CIP_40_Step >= 10 || CIP_40_Recipe != 2 && CIP_40_Step <= 24 && CIP_40_Step >= 32 || CIP_40_Recipe != 2 && CIP_40_Step <= 46 && CIP_40_Step >= 54 || CIP_40_Recipe != 2 && CIP_40_Step <= 68 && CIP_40_Step >= 76 || CIP_40_Recipe != 2 && CIP_40_Step <= 90 && CIP_40_Step >= 98 || CIP_40_Recipe != 3 && CIP_40_Step <= 2 && CIP_40_Step >= 10 || CIP_40_Recipe != 3 && CIP_40_Step <= 24 && CIP_40_Step >= 32 || CIP_40_Recipe != 4 && CIP_40_Step <= 12 && CIP_40_Step >= 20 || CIP_40_Recipe != 5 && CIP_40_Step <= 2 && CIP_40_Step >= 10 || CIP_40_Recipe != 6 && CIP_40_Step <= 12 && CIP_40_Step >= 20 || CIP_40_Recipe != 2 && CIP_40_Step <= 112 && CIP_40_Step >= 120
Soak Addition,CIP_40_Recipe == 4 && CIP_40_Step >= 4 && CIP_40_Step <= 5
Soak Addition,CIP_40_Step == 6
Soak Circulation,CIP_40_Recipe == 4 && CIP_40_Step == 6
Soak Circulation,CIP_40_Step != 6
Acid Circulation,CIP_33_Step == 6
Acid Circulation,CIP_33_Step != 6
Caustic Circulation,CIP_33_Step == 4
Caustic Circulation,CIP_33_Step != 4
Fresh Water Rinse,CIP_33_Step >= 1 && CIP_33_Step != 4 && CIP_33_Step != 6
Fresh Water Rinse,CIP_33_Step <= 1 && CIP_33_Step == 4 && CIP_33_Step == 6
Acid Circulation,CIP_34_Step == 11
Acid Circulation,CIP_34_Step != 11
Caustic Circulation,CIP_34_Step == 7
Caustic Circulation,CIP_34_Step != 7
Fresh Water Rinse,CIP_34_Acid_Supply_Valve == false && CIP_34_Caustic_Supply_Valve == false && CIP_34_Drain_Valve == true
Fresh Water Rinse,CIP_34_Drain_Valve != false
Acid Circulation,CIP_35_Acid_Supply_Valve == true && CIP_35_Step == 6
Acid Circulation,CIP_35_Step != 6
Caustic Circulation,CIP_35_Caustic_Supply_Valve == true && CIP_35_Step == 4
Caustic Circulation,CIP_35_Step != 4
Caustic Heat to Temp,CIP_35_Step == 3
Caustic Heat to Temp,CIP_35_Step != 3
Fresh Water Rinse,CIP_35_Fresh_Water_Supply_Valve == true && CIP_35_Drain_Valve == true && CIP_35_Step != 3
Fresh Water Rinse,CIP_35_Drain_Valve == false || CIP_35_Step == 3
Acid Circulation,CIP_36_Acid_Supply_Valve == true && CIP_36_Step == 6
Acid Circulation,CIP_36_Step != 6
Caustic Circulation,CIP_36_Caustic_Supply_Valve == true && CIP_36_Step == 4
Caustic Circulation,CIP_36_Step != 4
Caustic Heat to Temp,CIP_36_Step == 2
Caustic Heat to Temp,CIP_36_Step != 2
Fresh Water Rinse,CIP_36_Fresh_Water_Supply_Valve == true && CIP_36_Drain_Valve == true
Fresh Water Rinse,CIP_36_Drain_Valve == false || CIP_36_Step == 2
Chemical 1 Addition and Heat To Temperature,CIP_41_Step == 3 && CIP_41_Wash_Temperature_Hold == true
Chemical 1 Addition and Heat To Temperature,CIP_41_Step != 3 && CIP_41_Wash_Temperature_Hold != true
Chemical 1 Circulation,CIP_41_Step == 3 && CIP_41_Wash_Temperature_Hold == false && CIP_41_High_Pressure_Pump_A == true
Chemical 1 Circulation,CIP_41_Step != 3
Chemical 2 Addition and Heat to Temperature,CIP_41_Step == 6 && CIP_41_Wash_Temperature_Hold == true
Chemical 2 Addition and Heat to Temperature,CIP_41_Step != 6 && CIP_41_Wash_Temperature_Hold != true
Chemical 2 Circulation,CIP_41_Step == 6 && CIP_41_Wash_Temperature_Hold == false && CIP_41_High_Pressure_Pump_A == true
Chemical 2 Circulation,CIP_41_Step != 6
Chemical 3 Addition and Heat to Temperature,CIP_41_Step == 9 && CIP_41_Wash_Temperature_Hold == true
Chemical 3 Addition and Heat to Temperature,CIP_41_Step != 9 && CIP_41_Wash_Temperature_Hold != true
Chemical 3 Circulation,CIP_41_Step == 9 && CIP_41_Wash_Temperature_Hold == false && CIP_41_High_Pressure_Pump_A == true
Chemical 3 Circulation,CIP_41_Step >= 13
Fresh Water Rinse to Drain,CIP_41_Step >= 1 && CIP_41_Step <= 2 || CIP_41_Step >= 4 && CIP_41_Step <= 5 || CIP_41_Step >= 7 && CIP_41_Step <= 8 || CIP_41_Step >= 10 && CIP_41_Step <= 11 || CIP_41_Step >= 13 && CIP_41_Step <= 14 || CIP_41_Step >= 16 && CIP_41_Step <= 17
Fresh Water Rinse to Drain,CIP_41_Step <= 1 && CIP_41_Step >= 2 || CIP_41_Step <= 4 && CIP_41_Step >= 5 || CIP_41_Step <= 7 && CIP_41_Step >= 8 || CIP_41_Step <= 10 && CIP_41_Step >= 11 || CIP_41_Step <= 13 && CIP_41_Step >= 14 || CIP_41_Step <= 16 && CIP_41_Step >= 17
Chemical 1 Addition and Heat to Temperature,CIP_42_Recipe == 2 && CIP_42_Step >= 13 && CIP_42_Step <= 15
Chemical 1 Addition and Heat to Temperature,CIP_42_Step == 16
Chemical 1 Circulation,CIP_42_Recipe == 2 && CIP_42_Step == 16 && CIP_42_Step_Timer_Timing == true
Chemical 1 Circulation,CIP_42_Step != 16
Chemical 2 Addition and Heat to Temperature,CIP_42_Recipe == 2 && CIP_42_Step >= 33 && CIP_42_Step <= 35
Chemical 2 Addition and Heat to Temperature,CIP_42_Step == 36
Chemical 2 Circulation,CIP_42_Recipe == 2 && CIP_42_Step == 36
Chemical 2 Circulation,CIP_42_Step != 36
Chemical 3 Addition and Heat to Temperature,CIP_42_Recipe == 2 && CIP_42_Step >= 53 && CIP_42_Step <= 55
Chemical 3 Addition and Heat to Temperature,CIP_42_Step == 56
Chemical 3 Circulation,CIP_42_Recipe == 2 && CIP_42_Step == 56
Chemical 3 Circulation,CIP_42_Step != 56
Chemical 4 Addition and Heat to Temperature,CIP_42_Recipe == 2 && CIP_42_Step >= 73 && CIP_42_Step <= 75
Chemical 4 Addition and Heat to Temperature,CIP_42_Step == 76
Chemical 4 Circulation,CIP_42_Recipe == 2 && CIP_42_Step == 76
Chemical 4 Circulation,CIP_42_Step != 76
Fresh Water Rinse to Drain,CIP_42_Recipe == 2 && CIP_42_Step >= 2 && CIP_42_Step <= 9 || CIP_42_Recipe == 2 && CIP_42_Step >= 22 && CIP_42_Step <= 29 || CIP_42_Recipe == 2 && CIP_42_Step >= 42 && CIP_42_Step <= 49 || CIP_42_Recipe == 2 && CIP_42_Step >= 62 && CIP_42_Step <= 69 || CIP_42_Recipe == 2 && CIP_42_Step >= 82 && CIP_42_Step <= 89 || CIP_42_Recipe == 3 && CIP_42_Step >= 2 && CIP_42_Step <= 9 || CIP_42_Recipe == 3 && CIP_42_Step >= 22 && CIP_42_Step <= 29 || CIP_42_Recipe == 4 && CIP_42_Step >= 11 && CIP_42_Step <= 18 || CIP_42_Recipe == 5 && CIP_42_Step >= 2 && CIP_42_Step <= 9 || CIP_42_Recipe == 6 && CIP_42_Step >= 11 && CIP_42_Step <= 18
Fresh Water Rinse to Drain,CIP_42_Recipe != 2 && CIP_42_Step <= 2 && CIP_42_Step >= 9 || CIP_42_Recipe != 2 && CIP_42_Step <= 22 && CIP_42_Step >= 29 || CIP_42_Recipe != 2 && CIP_42_Step <= 42 && CIP_42_Step >= 49 || CIP_42_Recipe != 2 && CIP_42_Step <= 62 && CIP_42_Step >= 69 || CIP_42_Recipe != 2 && CIP_42_Step <= 82 && CIP_42_Step >= 89 || CIP_42_Recipe != 3 && CIP_42_Step <= 2 && CIP_42_Step >= 9 || CIP_42_Recipe == 3 && CIP_42_Step >= 22 && CIP_42_Step <= 29 || CIP_42_Recipe == 4 && CIP_42_Step >= 11 && CIP_42_Step <= 18 || CIP_42_Recipe == 5 && CIP_42_Step >= 2 && CIP_42_Step <= 9 || CIP_42_Recipe != 6 && CIP_42_Step <= 11 && CIP_42_Step >= 18
Sanitize Addition,CIP_42_Recipe == 6 && CIP_42_Step >= 3 && CIP_42_Step <= 4
Sanitize Addition,CIP_42_Recipe != 6 && CIP_42_Step <= 3 && CIP_42_Step >= 4
Sanitize Circulation,CIP_42_Recipe == 6 && CIP_42_Step == 5
Sanitize Circulation,CIP_42_Recipe != 6 && CIP_42_Step != 5
Soak Addition,CIP_42_Recipe == 4 && CIP_42_Step >= 3 && CIP_42_Step <= 4
Soak Addition,CIP_42_Step == 5
Soak Circulation,CIP_42_Recipe == 4 && CIP_42_Step == 5
Soak Circulation,CIP_42_Step != 5
Fresh Water Rinse to Drain,CIP_43_Step >= 1 && CIP_43_Step <= 2 || CIP_43_Step >= 4 && CIP_43_Step <= 5 || CIP_43_Step >= 7 && CIP_43_Step <= 8 || CIP_43_Step >= 10 && CIP_43_Step <= 11 || CIP_43_Step >= 13 && CIP_43_Step <= 14 || CIP_43_Step >= 16 && CIP_43_Step <= 17
Fresh Water Rinse to Drain,CIP_43_Step <= 1 && CIP_43_Step >= 2 || CIP_43_Step <= 4 && CIP_43_Step >= 5 || CIP_43_Step <= 7 && CIP_43_Step >= 8 || CIP_43_Step <= 10 && CIP_43_Step >= 11 || CIP_43_Step <= 13 && CIP_43_Step >= 14 || CIP_43_Step <= 16 && CIP_43_Step >= 17
Rec1 Addition and Heat to Temperature,CIP_43_Step == 3 && CIP_43_Wash_Temperature_Hold == 1 && CIP_43_High_Pressure_Pump_A == 0 && CIP_43_Feed_Pump_A == 1 && CIP_43_Step_Hold == 1 && CIP_43_Loop_Pump_B == 1
Rec1 Addition and Heat to Temperature,CIP_43_Step == 3 && CIP_43_Wash_Temperature_Hold == false && CIP_43_Loop_Pump_A == true && CIP_43_High_Pressure_Pump_A == true
Rec1 Circulation,CIP_43_Step == 3 && CIP_43_Wash_Temperature_Hold == false && CIP_43_High_Pressure_Pump_A == true && CIP_43_Loop_Pump_A == true
Rec1 Circulation,CIP_43_Step != 3
Rec2 Addition and Heat to Temperature,CIP_43_Step == 6 && CIP_43_Wash_Temperature_Hold == true && CIP_43_Loop_Pump_A == false && CIP_43_Feed_Pump_A == true && CIP_43_Step_Hold == true && CIP_43_Loop_Pump_B == true
Rec2 Addition and Heat to Temperature,CIP_43_Step == 6 && CIP_43_Wash_Temperature_Hold == false && CIP_43_Loop_Pump_A == true && CIP_43_High_Pressure_Pump_A == true
Rec2 Circulation,CIP_43_Step == 6 && CIP_43_Wash_Temperature_Hold == false && CIP_43_Loop_Pump_A == true && CIP_43_High_Pressure_Pump_A == true
Rec2 Circulation,CIP_43_Step != 6
Rec3 Addition and Heat to Temp,CIP_43_Step == 9 && CIP_43_Wash_Temperature_Hold == true && CIP_43_High_Pressure_Pump_A == false && CIP_43_Feed_Pump_A == true && CIP_43_Step_Hold == true && CIP_43_Loop_Pump_B == true
Rec3 Addition and Heat to Temp,CIP_43_Step == 9 && CIP_43_Wash_Temperature_Hold == false && CIP_43_Loop_Pump_A == true && CIP_43_High_Pressure_Pump_A == true
Rec3 Circulation,CIP_43_Step == 9 && CIP_43_Wash_Temperature_Hold == false && CIP_43_High_Pressure_Pump_A == true && CIP_43_Loop_Pump_A == true
Rec3 Circulation,CIP_43_Step != 9
Chemical 1 Addition and Heat to Temperature,CIP_44_Recipe == 2 && CIP_44_Step >= 7 && CIP_44_Step <= 9
Chemical 1 Addition and Heat to Temperature,CIP_44_Step == 10 && CIP_44_Step_Timer_Timing == 1 || CIP_44_Step > 10
Chemical 1 Circulation,CIP_44_Recipe == 2 && CIP_44_Step == 10 && CIP_44_Step_Timer_Timing == true
Chemical 1 Circulation,CIP_44_Step != 10
Chemical 2 Addition and Heat to Temperature,CIP_44_Recipe == 2 && CIP_44_Step >= 19 && CIP_44_Step <= 21
Chemical 2 Addition and Heat to Temperature,CIP_44_Step == 22 && CIP_44_Step_Timer_Timing == 1 || CIP_44_Step > 22
Chemical 2 Circulation,CIP_44_Recipe == 2 && CIP_44_Step == 22 && CIP_44_Step_Timer_Timing == true
Chemical 2 Circulation,CIP_44_Step != 22
Chemical 3 Addition and Heat to Temperature,CIP_44_Recipe == 2 && CIP_44_Step >= 31 && CIP_44_Step <= 33
Chemical 3 Addition and Heat to Temperature,CIP_44_Step == 34 && CIP_44_Step_Timer_Timing == 1 || CIP_44_Step > 34
Chemical 3 Circulation,CIP_44_Recipe == 2 && CIP_44_Step == 34 && CIP_44_Step_Timer_Timing == true
Chemical 3 Circulation,CIP_44_Step != 34
Chemical 4 Addition and Heat to Temperature,CIP_44_Recipe == 2 && CIP_44_Step >= 43 && CIP_44_Step <= 45
Chemical 4 Addition and Heat to Temperature,CIP_44_Step == 46 && CIP_44_Step_Timer_Timing == 1 || CIP_44_Step > 46
Chemical 4 Circulation,CIP_44_Recipe == 2 && CIP_44_Step == 46 && CIP_44_Step_Timer_Timing == true
